TARGET_SKU,TARGET_DESCRIPTION
CAR2S-15-DTR-XX,15A DUPLEX RF RECEPTACLE XX
CAR2S-15-STR-XX,15A SPLIT RF RECEPTACLE XX
CAR2S-20-DTR-XX,20A DUPLEX RF RECEPTACLE XX
CAR2S-20-STR-XX,20A SPLIT RF RECEPTACLE XX
CONNECT-BDG2,CONNECT BRIDGE W US
DVRF-5NE-XX,DIVA SMART ELV+ XX
DVRF-5NS-XX,LUTRON CLARO SMART SWITCH XX
DVRF-6L-XX,LUTRON DIVA SMART DMR SWITCH XX
DVRF-BDG-1DP,CASETA DIVA SMART DIMMER
DVRFW-5NS-WH,CASETA CLARO 5A SWITCH
DVRFW-6L-WH,CASETA DIVA SMART DIMMER
L-BDG2-WH,Caseta Wireless Smart Bridge
L-BDGPRO2-WH,PRO BRIDGE
L-REPPRO-BL,LUTRON WIRELESS REPEATER
LMJ-16R-DV-B,434MHZ 16A RELAY
LMJ-CCO1-24-B,434MHZ LV RELAY
MRF2S-6CL-XX,MAESTRO RF C.L. DIMMER IN AL VIVE ENABLD
MRF2S-8SD010-XX,MAESTRO RF 434MHZ 8A 0-10V OCC AL
MRF2S-8SDV010-XX,MAESTRO RF 434MHZ 8A 0-10V VAC AL
MRF2S-8SS-XX,MAESTRO RF 434MHZ 8A SWTCH OCC AL
MRF2S-8SSV-XX,MAESTRO RF 434MHZ 8A SWTCH VAC AL
MS-HS3-WH,XACTSENSE 3A FAN SP HMDTYSENSR WH
PD-10NXD-XX,Caseta PRO 1000W Dimmer XX
PD-15OUT-BL,Caseta Outdoor Smart Plug On/Off Switch
PD-3PCL-WH,Caseta Lamp Dimmer
PD-5ANS-XX,CASETA 5A NEUTRAL SWITCH BL
PD-5NE-XX,Caseta ELV Dimmer 250W LED XX
PD-5S-DV-XX,5A RF SWITCH DUAL VOLT XX
PD-5WS-DV-XX,"RF SWTCH DUAL V, 5A LTNG OR 3A FAN, BL"
PD-6ANS-XX,Caseta 6A Smart Switch XX
PD-6WCL-XX,Caseta Smart Dimmer Switch XX
PD-FSQN-XX,Caseta Smart Fan Speed Control XX
PD-OSENS-WH,Caseta Motion Sensor Multi Location
PD-REP-WH,Caseta Repeater/Range Extender
PD-VSENS-WH,Caseta Vacancy Sensor
PJ2-2B-XX-EL1,PICO 434 2B CUSTOM LIGHTS
PJ2-2B-XX-ES1,PICO 434 2B CUSTOM SHADES
PJ2-2B-XX-L01,PICO 2B LIGHT ICON BI
PJ2-2B-XX-L02,PICO 2B POWER ICON BI
PJ2-2B-XX-P01,PICO 2B ENTRANCE SCENE GBL
PJ2-2B-XX-P02,PICO 2B BEDSIDE SCENE GBL
PJ2-2B-XX-P11,PICO 2B ENTRANCE SCENE MN
PJ2-2B-XX-P12,PICO 2B BEDSIDE ICON SCENE MN
PJ2-2B-XX-S08,PICO 2B SCREEN ICON XX
PJ2-2BRL-XX-EL1,PICO 434 2BRL CUSTOM LIGHTS
PJ2-2BRL-XX-ES1,PICO 434 2BRL CUSTOM SHADES
PJ2-2BRL-XX-L01,PICO 2BRL LIGHT ICON BI
PJ2-2BRL-XX-S01,PICO 2BRL SHADE ICON XX SATIN
PJ2-3B-XX-EL1,PICO 434 3B CUSTOM LIGHTS
PJ2-3B-XX-ES1,PICO 434 3B CUSTOM SHADES
PJ2-3B-XX-L01,PICO 3B LIGHT ICON BI
PJ2-3BRL-WH-F01R,"Pico Smart Remote for Fan Speed, XX"
PJ2-3BRL-XX-A02,PICO 3BRL AUDIO XX
PJ2-3BRL-XX-EL1,PICO 434 3BRL CUSTOM LIGHTS
PJ2-3BRL-XX-ES1,PICO 434 3BRL CUSTOM SHADES
PJ2-3BRL-XX-F01,PICO RF 434MHZ FAN CONTROL XX
PJ2-3BRL-XX-L01,PICO 3BRL LIGHT ICON BI
PJ2-3BRL-XX-L01R,PICO RF 434 W/LED 3BRL
PJ2-3BRL-XX-S02,PICO 3BRL SHADE TEXT XX SATIN
PJ2-3BRL-XX-S03,PICO 3BRL BLACKOUTS XX SATIN
PJ2-3BRL-XX-S04,PICO 3BRL SHADE SHEER XX SATIN
PJ2-3BRL-XX-S05,PICO 3BRL SHADE BLIND XX SATIN
PJ2-3BRL-XX-S06,PICO 3BRL SKYLIGHTS XX
PJ2-3BRL-XX-S07,PICO 3BRL SHADE DRAPE XX SATIN
PJ2-3BRL-XX-S09,PICO 3BRL SHADE XX SATIN
PJ2-3BRL-XX-S10,PICO RF 434 W LED 3BRL XX SATIN
PJ2-4B-GIV-LS21,PICO 4B 2 GROUP LIGHT/ SHADE CONTROL IV
PJ2-4B-TSW-ES2,PICO 4B CUSTOM SHADES
PJ2-4B-XX-EL1,PICO 4B CUSTOM LIGHTS
PJ2-4B-XX-EL2,PICO 4B CUSTOM LIGHTS
PJ2-4B-XX-L01,PICO 4B ZONE LIGHT CONTROL BL
PJ2-4B-XX-L01P,PICO PRO 4B ZONE LIGHT IN XX
PJ2-4B-XX-L21,PICO 4B 2 GROUP LIGHT CONTROL BL
PJ2-4B-XX-L21P,PICO PRO 4B 2 GROUP LIGHT IN XX
PJ2-4B-XX-L31,PICO 4B SCENE LIGHT CONTROL BL
PJ2-4B-XX-L31P,PICO PRO 4B SCENE LIGHT IN XX
PJ2-4B-XX-P01,PICO 4B FAMILY ROOM SCENE GBL
PJ2-4B-XX-P02,PICO 4B KITCHEN SCENE GBL
PJ2-4B-XX-P03,PICO 4B ANY ROOM SCENE GBL
PJ2-4B-XX-P11,PICO 4B FAMILY RM SCENE MN
PJ2-4B-XX-P12,PICO 4B KITCHEN SCENE MN
PJ2-4B-XX-P13,PICO 4B ANY ROOM SCENE MN
PJ2-4B-XX-P14,PICO 4B SCENE TMNPICO 4B SCENE TMN
PJ2-P2B-XX,PICO PADDLE SMART REMOTE BL
PJ2W-P2B-WH,PICO PADDLE SMART REMOTE W
PJL-2B-XX-L01,PICO LINE-POWERED WLESS 2B BL
PJL-2BRL-XX-L01,PICO LINE-POWERED WLESS 2BRLBL
PJL-3BRL-XX-L01,PICO LINE-POWERED WLESS 3BRLBL
RMJS-ECO32-SZ,POWPAK ECO VIVE 434MHZ 32 DRIVERS
RR-15OUT-BL,RA3 OUTDOOR PLUG-IN SWITCH
RR-AUX-REP-WH,RADIORA2 AUX REPEATER
RR-PROC3-CW,RA3 PROCESSOR
RR-SEL-REP2-BL,RA2 SELECT MAIN REPEATER
RRD-2ANF-XX,RADIORA2 RF FAN CONTROL AL
RRST-8ANS-XX,RA3 SUNNATA SW BI
RRST-ANF-XX,RA3 SUNNATA FAN CONTROL-BI
RRST-HN2B-XX,RA3 ST HYBRID KEYPAD 2B BI
RRST-HN3RL-XX,RA3 ST HYBRID KEYPAD 3RL BI
RRST-HN4B-XX,RA3 ST HYBRID KEYPAD 4B BI
RRST-PRO-N-XX,RA3 SUNNATA DIM BI
RRST-W2B-XX,RA3 2B SUNNATA KEY BI
RRST-W3RL-XX,RA3 3RL SUNNATA KEY BI
RRST-W4B-XX,RA3 4B SUNNATA KEY BI
